global_step,episode,episode_inner_step,buffer_size,epsilon,episode_reward_so_far,episode_avg_loss_so_far,episode_success_rate_so_far
980000,3,308976,400000,0.4207767104477612,229045.86471664906,0.002289292801174622,0.5154672207550101
985000,3,313976,400000,0.4178214865671642,232976.26718354225,0.0022867013412817567,0.515749611435269
990000,3,318976,400000,0.41486626268656723,236878.1765590906,0.0022841865608799992,0.5159761235955056
995000,3,323976,400000,0.41191103880597013,240798.98950707912,0.0022837926305920462,0.5161586043410623
1000000,3,328976,400000,0.40895581492537314,244638.37904250622,0.0022820848488154526,0.5162382666212733
1005000,3,333976,400000,0.40600059104477615,248745.57099974155,0.0022797464447218735,0.5168784583323353
1010000,4,3464,400000,0.40304536716417916,3123.3195811510086,0.002128688611600878,0.6333718244803695
1015000,4,8464,400000,0.40009014328358206,7538.833873748779,0.002169813674648815,0.6316162570888468
1020000,4,13464,400000,0.3971349194029852,11702.470653414726,0.0022436719015429163,0.6160130718954249
1025000,4,18464,400000,0.3941796955223881,16943.584257364273,0.002215932376379085,0.6481802426343154
1030000,4,23464,400000,0.3912244716417911,21012.87789607048,0.0022673636542812304,0.6343760654619843
1035000,4,28464,400000,0.388269247761194,24657.543402314186,0.002299403036732989,0.613406408094435
1040000,4,33464,400000,0.3853140238805971,28139.608798742294,0.002319776374367691,0.5953860865407602
1045000,4,38464,400000,0.3823588,31792.81525683403,0.0023400700625013835,0.5848325707154742
1050000,4,43464,400000,0.379403576119403,35610.896777272224,0.002366010066738209,0.5794910730719676
1055000,4,48464,400000,0.3764483522388059,39290.544770121574,0.002368350996144558,0.5736629250577748
1060000,4,53464,400000,0.373493128358209,43094.595854997635,0.002372505483204734,0.5700097261708813
1065000,4,58464,400000,0.3705379044776119,46917.42631423473,0.002364193806646281,0.5670327038861521
1070000,4,63464,400000,0.36758268059701493,50518.89872944355,0.0023940400991866667,0.5625078784822892
1075000,4,68464,400000,0.36462745671641794,54262.760635614395,0.0023986172527206287,0.559754031315728
1080000,4,73464,400000,0.36167223283582095,58076.60953438282,0.0023969141484993673,0.5585729064575846
1085000,4,78464,400000,0.35871700895522385,61895.49700510502,0.002386107492402872,0.557414865415987
1090000,4,83464,400000,0.35576178507462686,65667.83737754822,0.002381833020638586,0.5560361353397872
1095000,4,88464,400000,0.35280656119402987,69439.59858250618,0.0023806880005453938,0.5546550009043226
1100000,4,93464,400000,0.3498513373134329,73230.6744095087,0.0023660444089975284,0.5536570230249079
1105000,4,98464,400000,0.3468961134328358,78617.87273192406,0.0023596161263294566,0.5642366753331167
1110000,4,103464,400000,0.3439408895522389,83609.382350564,0.002352772888301116,0.5711261888192994
1115000,4,108464,400000,0.3409856656716418,87486.91291463375,0.002346639159571249,0.5700416728130993
1120000,4,113464,400000,0.3380304417910448,91690.1091375351,0.002345994561777494,0.570982866812381
1125000,4,118464,400000,0.3350752179104477,95895.92606461048,0.0023437564166258447,0.5718108454889249
1130000,4,123464,400000,0.3321199940298508,100005.59915411472,0.0023416417533383476,0.5720128944469643
1135000,4,128464,400000,0.3291647701492537,104135.41592538357,0.002338110848144384,0.5722147839083322
1140000,4,133464,400000,0.3262095462686567,108318.48217236996,0.002332063469379147,0.5727761793442426
1145000,4,138464,400000,0.3232543223880596,112884.78328835964,0.0023322660497692932,0.5751025537323781
1150000,4,143464,400000,0.32029909850746274,118424.92050480843,0.0023329285197768285,0.582236658673953
1155000,4,148464,400000,0.31734387462686564,123625.81388485432,0.002332864550772911,0.5871659122750297
1160000,4,153464,400000,0.31438865074626865,127439.78446781635,0.0023346436219360356,0.5852968774435698
1165000,4,158464,400000,0.31143342686567166,131217.53331923485,0.002337994946616407,0.5832933663166397
1170000,4,163464,400000,0.30847820298507467,135476.05307412148,0.002340246995387526,0.5836025057505017
1175000,4,168464,400000,0.30552297910447757,139009.64757835865,0.00234112270000899,0.5808896856301643
