global_step,episode,episode_inner_step,buffer_size,epsilon,episode_reward_so_far,episode_avg_loss_so_far
1550000,5,207952,400000,0.08388118805970146,212013.99447762966,0.0025311205440244223
1555000,5,212952,400000,0.08092596417910447,217390.1355086565,0.0025304932400096285
1560000,5,217952,400000,0.07797074029850748,222838.86628472805,0.002525074519584273
1565000,5,222952,400000,0.07501551641791049,228334.9641776085,0.002529092133633403
1570000,5,227952,400000,0.07206029253731339,234081.60531651974,0.002524329379414811
1575000,5,232952,400000,0.0691050686567164,239583.6885716915,0.0025199763416192717
1580000,5,237952,400000,0.0661498447761194,244782.6181718111,0.0025158726169064024
1585000,5,242952,400000,0.06319462089552241,250240.17325472832,0.002507957830646073
1590000,5,247952,400000,0.06023939701492531,256081.27354359627,0.0024995248331656623
1595000,5,252952,400000,0.05728417313432832,261469.81770396233,0.0024936923533560623
1600000,5,257952,400000,0.05432894925373133,266685.84446275234,0.0024851953598878265
1605000,5,262952,400000,0.05137372537313434,272617.43956911564,0.0024780339617364515
1610000,5,267952,400000,0.048418501492537236,278478.3527685404,0.0024705622376218943
1615000,5,272952,400000,0.045463277611940356,284151.63406944275,0.0024651802152299315
1620000,5,277952,400000,0.042508053731343365,290024.0450387001,0.0024578028603288123
1625000,5,282952,400000,0.03955282985074626,295828.41799223423,0.0024534867846941508
1630000,5,287952,400000,0.03659760597014927,301226.7123513222,0.0024477996307900136
1635000,5,292952,400000,0.03364238208955228,307275.9676641226,0.002444949313876234
1640000,5,297952,400000,0.03068715820895529,313194.86110186577,0.002441881619896999
1645000,5,302952,400000,0.027731934328358188,319200.0486346483,0.002436686612085387
1650000,5,307952,400000,0.024776710447761308,324967.659409523,0.0024323799997645395
1655000,5,312952,400000,0.021821486567164206,330626.1153296232,0.0024286856967243244
1660000,5,317952,400000,0.018866262686567215,336681.3732881546,0.0024265043849335936
1665000,5,322952,400000,0.015911038805970112,342542.62251615524,0.002422618431083843
1670000,5,327952,400000,0.012955814925373232,348263.16121196747,0.0024213278865498895
1675000,5,332952,400000,0.01000059104477613,354411.3281695843,0.002419818839789738
1680000,6,2440,400000,0.010000000000000009,2892.444351553917,0.002529056850185267
1685000,6,7440,400000,0.010000000000000009,8759.391062378883,0.0024867883205970235
1690000,6,12440,400000,0.010000000000000009,14551.471985578537,0.0024718015323087223
1695000,6,17440,400000,0.010000000000000009,20339.869982361794,0.002547640833604377
1700000,6,22440,400000,0.010000000000000009,25859.05735182762,0.0025927863054909434
1705000,6,27440,400000,0.010000000000000009,30752.128789663315,0.002668588691188342
1710000,6,32440,400000,0.010000000000000009,35639.323842048645,0.002698149482574476
1715000,6,37440,400000,0.010000000000000009,40419.693413734436,0.0026985861082923497
1720000,6,42440,400000,0.010000000000000009,45489.16392171383,0.0026875829286107478
1725000,6,47440,400000,0.010000000000000009,50390.94457423687,0.002687753820046331
1730000,6,52440,400000,0.010000000000000009,55288.56815171242,0.002674120949897345
1735000,6,57440,400000,0.010000000000000009,60434.19200479984,0.0026512888446209052
1740000,6,62440,400000,0.010000000000000009,65183.56870305538,0.002678542382958887
1745000,6,67440,400000,0.010000000000000009,70103.33149731159,0.0026582685078617224
1750000,6,72440,400000,0.010000000000000009,75075.78967511654,0.002644933673657403
1755000,6,77440,400000,0.010000000000000009,80201.04906761646,0.002635968000506618
1760000,6,82440,400000,0.010000000000000009,85012.22439265251,0.0026277796998932677
1765000,6,87440,400000,0.010000000000000009,89948.32685482502,0.0026186484366920613
1770000,6,92440,400000,0.010000000000000009,94957.46775841713,0.0026183329494418916
1775000,6,97440,400000,0.010000000000000009,100979.00758099556,0.0026351530189899133
1780000,6,102440,400000,0.010000000000000009,107609.82453334332,0.0026353248824270295
1785000,6,107440,400000,0.010000000000000009,112854.80026555061,0.0026458015377792206
1790000,6,112440,400000,0.010000000000000009,118355.30633413792,0.002648700605947558
1795000,6,117440,400000,0.010000000000000009,123930.16024911404,0.002656097528607865
1800000,6,122440,400000,0.010000000000000009,129341.43421804905,0.0026517804445439974
1805000,6,127440,400000,0.010000000000000009,134871.05287361145,0.002648343750955327
1810000,6,132440,400000,0.010000000000000009,140446.77434062958,0.0026563010749547085
1815000,6,137440,400000,0.010000000000000009,145992.7634689808,0.0026561914779610514
1820000,6,142440,400000,0.010000000000000009,152910.1197092533,0.0026584750633834122
1825000,6,147440,400000,0.010000000000000009,159885.23844242096,0.0026566508894450384
1830000,6,152440,400000,0.010000000000000009,164881.58783078194,0.0026577325377863366
