global_step,episode,episode_inner_step,buffer_size,epsilon,episode_reward_so_far,episode_avg_loss_so_far
1495000,5,152952,400000,0.1163886507462687,134159.01960146427,0.0021585361233712927
1500000,5,157952,400000,0.1134334268656716,138097.08766222,0.0021711608007194444
1505000,5,162952,400000,0.1104782029850746,142727.65276944637,0.0021820391483877506
1510000,5,167952,400000,0.10752297910447761,146240.02267932892,0.0021991006820691107
1515000,5,172952,400000,0.10456775522388062,149895.56534469128,0.0022090336220397435
1520000,5,177952,400000,0.10161253134328352,153986.69701898098,0.002218164407188867
1525000,5,182952,400000,0.09865730746268664,158153.42786109447,0.0022280431448645226
1530000,5,187952,400000,0.09570208358208954,162131.3476307392,0.0022411448183437504
1535000,5,192952,400000,0.09274685970149255,166216.2359315157,0.002246287825906997
1540000,5,197952,400000,0.08979163582089544,170595.5406602621,0.0022534553104753487
1545000,5,202952,400000,0.08683641194029856,175054.38479971886,0.0022633149619720344
1550000,5,207952,400000,0.08388118805970146,179122.4710123539,0.0022673421506677898
1555000,5,212952,400000,0.08092596417910447,183123.93704497814,0.0022688518132264455
1560000,5,217952,400000,0.07797074029850748,187351.0132777691,0.002266101088124689
1565000,5,222952,400000,0.07501551641791049,191751.3463038206,0.0022638254476747776
1570000,5,227952,400000,0.07206029253731339,196246.01042115688,0.0022610305679074956
1575000,5,232952,400000,0.0691050686567164,200683.3864723444,0.002259222058094916
1580000,5,237952,400000,0.0661498447761194,204687.069755435,0.002262665760082357
1585000,5,242952,400000,0.06319462089552241,208999.41503489017,0.002257239002737449
1590000,5,247952,400000,0.06023939701492531,213564.96270430088,0.002250725954143934
1595000,5,252952,400000,0.05728417313432832,217619.60053789616,0.0022489382909118417
1600000,5,257952,400000,0.05432894925373133,221608.14492833614,0.0022472749466849024
1605000,5,262952,400000,0.05137372537313434,226097.93468248844,0.0022456216521324728
1610000,5,267952,400000,0.048418501492537236,230740.22578430176,0.0022414032360724427
1615000,5,272952,400000,0.045463277611940356,235169.75569164753,0.0022337323969987568
1620000,5,277952,400000,0.042508053731343365,239669.43460917473,0.0022292346712866804
1625000,5,282952,400000,0.03955282985074626,244087.83932197094,0.0022242172998293707
1630000,5,287952,400000,0.03659760597014927,247864.08911168575,0.0022234781595126996
1635000,5,292952,400000,0.03364238208955228,252229.69518315792,0.002222230275683801
1640000,5,297952,400000,0.03068715820895529,256623.17090415955,0.0022197429910843277
1645000,5,302952,400000,0.027731934328358188,261268.16867399216,0.002218530862604073
1650000,5,307952,400000,0.024776710447761308,265220.4111973047,0.0022188700513033266
1655000,5,312952,400000,0.021821486567164206,269515.5545517206,0.0022162302270461263
1660000,5,317952,400000,0.018866262686567215,274253.9502863884,0.0022148289693736966
1665000,5,322952,400000,0.015911038805970112,278505.5117969513,0.0022146026020847484
1670000,5,327952,400000,0.012955814925373232,282810.47867417336,0.0022156400430106533
1675000,5,332952,400000,0.01000059104477613,287366.1271663904,0.0022185260100868165
1680000,6,2440,400000,0.010000000000000009,2336.554987549782,0.00241701348057803
1685000,6,7440,400000,0.010000000000000009,7422.42686021328,0.0024842281061239033
1690000,6,12440,400000,0.010000000000000009,12342.853770136833,0.0024366365603794168
